,pp,Intgov,Intciv,Elections,Interrim,Natalks,Shagov,Pol_prov,Aut,Fed,Ind,Ref,Shaloc,Regdev,Cul,Demarcation,Locgov,Terr_prov,combination
166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5
167,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,25603
168,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,21504
169,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,769
170,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,577
171,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,19713
172,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,197632
173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9216
179,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,164864
180,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,164864
181,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,148480
182,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33792
183,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33792
184,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,164864
185,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,164864
186,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33792
187,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99328
188,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,164864
189,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,66560
190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5
191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5
193,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5120
194,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5120
195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,13
196,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,148480
197,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,224256
198,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,207872
199,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,236544
200,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,226304
201,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,261120
202,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,132096
203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,197632
205,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,19977
206,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,3329
207,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,547
208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,148480
210,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,84995
211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
212,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,35
213,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,25600
214,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,27648
215,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,29696
